SERIAL_NO,NAME,SITE_CLASS,DIS_ACCESS,ACCESS_DSC,COMMENTS,MAINT_BY,DESCRIPTION,TYPE,SUBURB,REGION,LOCAL_GOV_AREA,LONGITUDE,LATITUDE,join_siteI,POSTCODE,POSTCODE_SUBURB,,EVENTS
11,Wombat Creek Picnic Area,BASIC,NONE,"On the eastern outskirts of Daylesford, on the Daylesford-Trentham Road, head south to the end of East Street, then turn left onto Wombat Dam Road and continue on this road for 3.8km till you reach the picnic area on your right hand side.",NA,DAYLESFORD,Wood BBQ available,BBQ,MUSK VALE,GRAMPIANS,HEPBURN,144.171861,-37.3882,cda783ad-39fb-4ace-a8cd-15324fdb6147,3461,3461 - MUSK VALE,,https://freshlife.tk/bbq/
12,The Glut,MID,NONE,"From Beaufort, head north east for 19km on the Main Lead/Raglan Elmhurst Road thorough Raglan to turn left onto The Glut Road. After 3km turn you will reach The Glut.",NA,BEAUFORT,Wood BBQ available,BBQ,RAGLAN,GRAMPIANS,PYRENEES,143.268408,-37.2931,39ae637d-9102-49f0-b741-6b280055b033,3373,3373 - RAGLAN,,https://freshlife.tk/bbq/
13,Richards,MID,NONE,"From Beaufort, head north east for 19km on the Main Lead/Raglan Elmhurst Road thorough Raglan to turn left onto The Glut Road. After 1.5km turn left and continue on for another 0.6km to Richards.","Situated amongst tall eucalypt forest adjacent to Cave Hill Creek, Richards caters for picnickers and campers as well as providing good access to a network of short (Grevillea, Paradise and Fiery Loop)walks and an overnight (Beeripmo) walk.",BEAUFORT,"Pit, and Wood BBQs available",BBQ,RAGLAN,GRAMPIANS,PYRENEES,143.27522,-37.301,39ae637d-9102-49f0-b741-6b280055b033,3373,3373 - RAGLAN,,https://freshlife.tk/bbq/
14,Ditchfield Camp,BASIC,NONE,"From Beaufort, turn north towards Raglan and after 11km, turn left down Raglan-Mt Cole Road. After 3km continue onto Mount Cole Road and after 4.2 km, turn right onto Camp Road and continue on for 0.8km to arrive at Ditchfield Camp.","Located in a very picturesque setting, this site has smaller areas for more secluded picnicking and camping as well as one large open area suitable for large groups.",BEAUFORT,"Pit, and Wood BBQs available",BBQ,RAGLAN,GRAMPIANS,PYRENEES,143.272658,-37.317,39ae637d-9102-49f0-b741-6b280055b033,3373,3373 - RAGLAN,,https://freshlife.tk/bbq/
15,Beeripmo Campground,MID,NONE,This campground is only accessible to walkers via the Beeripmo walking track.,NA,BEAUFORT,Pit BBQ available,BBQ,RAGLAN,GRAMPIANS,PYRENEES,143.248177,-37.3,39ae637d-9102-49f0-b741-6b280055b033,3373,3373 - RAGLAN,,https://freshlife.tk/bbq/
16,Log Crossing Picnic Area,MID,PARTIAL,"Turn off the Princes Hwy at the sign, follow Uncles Rd for 2km to the turn off. The picnic area is 300m from the intersection.","Log Crossing is a spacious shady picnic area with fire places, toilets and picnic tables. This site is a good access point for local walking and mountain bike tracks. This area can be used for overnight camping.",NOWA NOWA,"Pit, and Wood BBQs available",BBQ,KALIMNA WEST,GIPPSLAND,EAST GIPPSLAND,147.941784,-37.8268,9888bb86-6422-44e6-9f7c-92fc38f2736d,3909,3909 - KALIMNA WEST,,https://freshlife.tk/bbq/
17,Long Lead Picnic Area,MID,NONE,"VicRoads Ref. 71 E3. Take the Casterton Penola Rd from Casterton. After approximately 17km, turn right onto Long Lead Track. After 500m take the track to the left and you will reach the Picnic Area.","Long Lead Picnic Area is set amongst stringybark forest, approximately 20 minutes from Casterton. There are BBQs, picnic tables; a picnic shelter and a toilet. Enjoy the peaceful surroundings whilst picnicking or taking a break from the road. You may be",CASTERTON,Wood BBQ available,BBQ,CORNDALE,BARWON SOUTHWEST,GLENELG,141.208527,-37.5842,51bff557-dea8-44b3-8ae3-10897be6df61,3311,3311 - CORNDALE,,https://freshlife.tk/bbq/
18,Wail Site 1 Campsite,VERY BASIC,NONE,Vehicle access to Wail Site 1 Campsite  is from the Western Highway at Wail via Plantation Tk and Ironbark Tk.  Wail Site 1 Campsite is located on Wimmera Track near the intersection of Ironbark and Wimmera Tks. Wail 1 Campsite is approximately 9km west,Wail Site 1 Campsite is situated on the banks of the Wimmera River and is surrounded by river redgum forest.  The site has basic camping facilities but no boat launching facilities.  Visitors to the site will enjoy the sounds and sites of local wildlife,HORSHAM NATIMUK RD,Wood BBQ available,BBQ,WAIL,GRAMPIANS,HORSHAM,142.030389,-36.511,5e9e5f47-e85b-493e-9b39-e6b5f282bc61,3401,3401 - WAIL,,https://freshlife.tk/bbq/
19,Wail Site 4 Campsite,VERY BASIC,NONE,Vehicle access to Wail Site 4 Campsite  is from the Western Highway at Wail via Plantation Tk and Ironbark Tk.  From Wail via these tracks Wail Site 4 Campsite is approximately 9 km from Wail.,Wail Site 4 Campsite is situated on the banks of the Wimmera River and is surrounded by river redgum forest. The site has basic camping facilities but no boat launching facilities. Visitors to the site will enjoy the sounds and sites of local wildlife wh,HORSHAM NATIMUK RD,Wood BBQ available,BBQ,WAIL,GRAMPIANS,HORSHAM,142.015827,-36.5386,5e9e5f47-e85b-493e-9b39-e6b5f282bc61,3401,3401 - WAIL,,https://freshlife.tk/bbq/
20,Big Billy Bore Day Visitor Area,BASIC,NONE,"Located in the Big Desert State Forest, 33 kms south of Murrayville. From Murrayville, head south along the Murrayville-Nhill Road. Vear left to stay on this road and follow until you reach the Camping Area
","Tour around the Big Desert and enjoy the remote and stark beauty of the outback countryside. The Big Billy Bore Day Visitor Area is a popular place to to break your drive, relax and have a picnic. Situated next to a low lying natural water soak, this sit",MILDURA CNR 11TH ST & KOORLONG AVE,Pit BBQ available,BBQ,BIG DESERT,LODDON MALLEE,MILDURA,141.317205,-35.5159,63f9b336-cf04-41a4-a08b-cbdb2d20a351,3490,3490 - BIG DESERT,,https://freshlife.tk/bbq/
21,Waterfall Picnic Area,MID,PARTIAL,"The Waterfall Picnic Area is located approximately 12 kms west of Avoca. Once in Avoca travel west along Vinoca Road (which turns into Waterfall Track) then on to the Waterfalls Picnic Area.
","For those seeking a picnic site in a relaxing forest setting, the Waterfalls Picnic Area is hard to beat, being easily accessible from Avoca, with toilets, picnic tables, fireplaces and a short walk available for day visitor use. The Pyrenees Ranges offe",AVOCA,Wood BBQ available,BBQ,PERCYDALE,GRAMPIANS,PYRENEES,143.367217,-37.0985,39ae637d-9102-49f0-b741-6b280055b033,3478,3478 - PERCYDALE,,https://freshlife.tk/bbq/
22,Hunts Bridge Picnic And Camping Area,BASIC,NONE,"From Elaine, head North East on the Elaine-Egerton Road for 9.7km to the Hunts Bridge site on your left hand side.","Located on the banks of the Moorabool River (West Branch) in a tranquil forest setting with farmland surrounds, this large open site provides basic camping and picnicking facilities but no toilets. The larger areas are on the western side of the Mooraboo",BALLARAT DEPOT (SEBASTOPOL),"Pit, and Wood BBQs available",BBQ,MORRISONS,GRAMPIANS,MOORABOOL,144.094801,-37.7101,1619e162-e4a5-4f96-b6a4-540ecd1a471c,3334,3334 - MORRISONS,,https://freshlife.tk/bbq/
23,Koolaroo Track,VERY BASIC,NONE,"Access by 2WD in dry conditions is possible but not advised as the route gets rougher and pot-holed towards the end.
From Ballan head south along the Geelong-Ballan Road for 11.6km, then turn right down Hamills Lane, across the Bungeeltap South Road ont","Located adjacent to the Moorabool River (East Branch), this is a low key site offering picnicking and camping opportunities for those who come self-contained and who seek a tranquil setting away from the crowds.",BALLARAT DEPOT (SEBASTOPOL),Wood BBQ available,BBQ,BUNGAL,GRAMPIANS,MOORABOOL,144.153732,-37.7214,1619e162-e4a5-4f96-b6a4-540ecd1a471c,3334,3334 - BUNGAL,,https://freshlife.tk/bbq/
24,Ironbark Dam Picnic Area,BASIC,NONE,"Located in the beautiful Kingower State Forest, just 3.2 km south-east of Kingower. Take Ironbark Dam Road south from Kingower, just after the Ironbark Exit Road intersection you will you will see the camp site on your left.
",Ironbark Dam is great for a picnic. It has a basic wood BBQ and picnic tables and is surrounded by beautiful old Ironbark trees. Explore the surrounding area and you may also find evidence of gold mining and past and present timber utilisation. The fores,INGLEWOOD,Wood BBQ available,BBQ,KINGOWER,LODDON MALLEE,LODDON,143.775397,-36.6291,82e215ca-e0e5-4a00-9357-98d53b04311b,3517,3517 - KINGOWER,,https://freshlife.tk/bbq/
25,Butchers Camp Site,BASIC,NONE,"Located in the beautiful Kingower State Forest, just 3.6 km south-east of Kingower. Take  Kingower-Arnold Road south-east from Kingower, turn right into Ironbark Exit Road into the Forest - you will see the camp site on your right
",Take some time to enjoy the beautiful Box-Ironbark forests near Inglewood. These forests contain diverse native plants and animals and have a rich cultural history.  This region has produced more gold nuggets than any other Australian goldfield. Basic ca,INGLEWOOD,Wood BBQ available,BBQ,KINGOWER,LODDON MALLEE,LODDON,143.784275,-36.62,82e215ca-e0e5-4a00-9357-98d53b04311b,3517,3517 - KINGOWER,,https://freshlife.tk/bbq/
26,Orchid Dam,BASIC,NONE,"Located in the beautiful Kingower State Forest, just 5 km south of Kingower. Take Gap Road south from Kingower, follow through the forest for 4.9 kms, turn right onto Orchid Dam Road, the site will be on your right  (GPS 0746916 5940273)
","Orchid Dam is another beautiful spot for a lazy picnic. There are picnic tables and a wood BBQ. Explore the surrounding forest and see if you can find evidence of past utilisation. 
",INGLEWOOD,Wood BBQ available,BBQ,KINGOWER,LODDON MALLEE,LODDON,143.763652,-36.6495,82e215ca-e0e5-4a00-9357-98d53b04311b,3517,3517 - KINGOWER,,https://freshlife.tk/bbq/
27,Battery Dam Historic Site,MID,PARTIAL,"Battery Dam is located 3 km south of Maryborough.  From Maryborough head south along Majorca Road (Inkerman Street).  Once in the Craigie State Forest turn west onto Graves track and head into the forest for approximately 1km.
","Battery Dam is a great place for a lazy picnic and a stroll through historical sites left behind by the gold rush era.  Set amongst the Box and Ironbark trees of the Craigie State Forest, Battery Dam offers the visitor a varied mix of cultural and natura",MARYBOROUGH,Wood BBQ available,BBQ,DAISY HILL,LODDON MALLEE,CENTRAL GOLDFIELDS,143.748411,-37.0843,e47fa291-45de-4b06-b6ac-6bb8bf6421f8,3465,3465 - DAISY HILL,,https://freshlife.tk/bbq/
28,Red White And Blue,MID,NONE,"Within the Muckleford State Forest, approximatley 10 kms south of Maldon. From Maldon head south, take the Castlemaine Maldon Rd to the left, turn right into Pullans Rd, travel west for about 1 km then turn left into Red White and Blue Tk, travel south f","The Red, White and Blue Mine is a site of historical, archaeological and scientific importance to Victoria  it is listed on the Victorian Heritage Register of significant heritage places. Explore the range of intact relics from the past, which illustrate",CASTLEMAINE,Wood BBQ available,BBQ,MUCKLEFORD,LODDON MALLEE,MOUNT ALEXANDER,144.107677,-37.06,cda783ad-39fb-4ace-a8cd-15324fdb6147,3451,3451 - MUCKLEFORD,,https://freshlife.tk/bbq/
29,Starlings Gap,MID,NONE,"From Powelltown, head east along the Yarra Junction - Noojee Road (C425) for 6km then turn left up Big Creek Road. Travel along Big Creek Road for 11.5km and pull into the Starlings Gap car park on your right. 
From Warburton Travel along the Warburton","The forests surrounding Starlings Gap consist of a mixture of Cool Temperate Rainforest, Wet and Damp forest vegetation classes. It is rich in Mountain Ash (Eucalyptus regnans), towering above the moist ferny understorey that once provided harsh and remo",POWELLTOWN,Pit BBQ available,BBQ,EAST WARBURTON,EASTERN METROPOLITAN,YARRA RANGES,145.800688,-37.8139,27088121-4310-48ce-8d3f-b1ec5c1608c6,3799,3799 - EAST WARBURTON,,https://freshlife.tk/bbq/
30,La Trobe River Picnic And Camping Area,BASIC,NONE,Latrobe River Picnic and Camping Area is located approximately 90 kilometres east of Melbourne.  Turn left just 500m up Ada River Road which is located between the towns of Powelltown and Noojee along the Yarra Junction - Noojee road. With the exception,Latrobe River Picnic and Camping Area is just a short walk away from the Latrobe River itself and is situated within easy access of a main road. The large area is within the heart of the Latrobe State Forest and is within a short distance of many worthwh,POWELLTOWN,Pit BBQ available,BBQ,GENTLE ANNIE,GIPPSLAND,BAW BAW,145.891477,-37.8827,27088121-4310-48ce-8d3f-b1ec5c1608c6,3833,3833 - GENTLE ANNIE,,https://freshlife.tk/bbq/
31,Spence Bridge,BASIC,NONE,"Spences Bridge Recreation Site is located 9 kms north of the Cohuna Township on Gunbower Creek. From Cohuna head north along the Cohuna-Koondrook Road. Turn right at Spences Bridge Road and enter Gunbower Island. Continue along Spences Bridge Track, ther","A tranquil quiet camp ground on Gunbower Creek for those who enjoy no frills camping. Basic facilities ( BBQs and Picnic tables) provided. Enjoy the sights and sounds of the surrounding river red gum forest. BBQs and picnic tables provided
",COHUNA,Wood BBQ available,BBQ,COHUNA,LODDON MALLEE,GANNAWARRA,144.180647,-35.7413,f3aaef44-43be-4557-b572-5de293dd1d85,3568,3568 - COHUNA,,https://freshlife.tk/bbq/
32,Goat Island,BASIC,NONE,"Goat Island Recreation Site is located 10.5 kms north of the Cohuna Township. From Cohuna head north along the Cohuna-Koondrook Road. Turn right at Spences Bridge Road and enter Gunbower Island. Continue past Spences Bridge Recreation Site, vear left ont","A tranquil quiet camp ground on Gunbower Creek for those who enjoy no frills camping. Basic facilities ( BBQs and Picnic tables) provided. Enjoy the sights and sounds of the surrounding river red gum forest. BBQs and picnic tables provided 
",COHUNA,Wood BBQ available,BBQ,COHUNA,LODDON MALLEE,GANNAWARRA,144.181207,-35.728,f3aaef44-43be-4557-b572-5de293dd1d85,3568,3568 - COHUNA,,https://freshlife.tk/bbq/
33,Black Swamp,BASIC,NONE,"Black Swamp Recreation Site is located 12 kms north of the Cohuna Township. From Cohuna head north along the Cohuna-Koondrook Road. Turn right at Spences Bridge Road and enter Gunbower Island. Continue past Spences Bridge Recreation Site, vear left onto",A tranquil quiet camp ground on Gunbower Creek for those who enjoy no frills camping. Basic facilities ( BBQs and Picnic tables) provided. Enjoy the surrounding river red gum forest while taking in the history of the area. BBQs and picnic tables provided,COHUNA,Wood BBQ available,BBQ,GANNAWARRA,LODDON MALLEE,GANNAWARRA,144.176634,-35.7105,f3aaef44-43be-4557-b572-5de293dd1d85,3568,3568 - GANNAWARRA,,https://freshlife.tk/bbq/
34,Bracks Bridge,MID,NONE,From Goughs Bay head towards Mansfield turning left on the Piries-Goughs Bay Rd and then immediately right onto Howes Creek  Goughs bay Rd. Follow Howes Creek  Goughs Bay Rd before coming to Bracks Bridge on the left.,"This site is a stunning area and very popular in the summer months, when you arrive youll see why. The area is located next to the Delatite River with water birds and shady trees galore, there is plenty of room to let the kids out and run around to stret",MANSFIELD,Pit BBQ available,BBQ,GOUGHS BAY,HUME,MANSFIELD,146.0606074,-37.1690275,6f12e44a-29d7-4ca9-9756-bcb444962af4,3723,3723 - GOUGHS BAY,,https://freshlife.tk/bbq/
35,Jorgenson,MID,NONE,From Whalhalla Rd turn right onto Merringtons Trk then turn left onto the link track to Junction Hut. From here cross the creek and continue on Junction track before turning right on Donnellys Creek Rd. Jorgensens hut is on the right just before you cros,"Set beside Donnelly Creek, Jorgenson Flat is one of a number of spacious and open overnight options in the backcountry of Aberfeldy/Nambruc State forests.  A 4WD is a must to make it down the Donnelly Creek Tk from Walhalla Rd to this popular site that f",ERICA,Pit BBQ available,BBQ,TOOMBON,GIPPSLAND,BAW BAW,146.412418,-37.7491,69fa2d5e-557c-457a-9103-21bc2609f5eb,3825,3825 - TOOMBON,,https://freshlife.tk/bbq/
36,O'Toole'S Flat,MID,NONE,"This relaxing remote bush camping spot is reached via Donnelly Creek Track, which youll find signposted off Walhalla Rd. A 4WD is needed","A large, clear site perfect to light a fire and enjoy the bush with friends and family, or relax after a day's drive.",ERICA,Pit BBQ available,BBQ,TOOMBON,GIPPSLAND,BAW BAW,146.44185,-37.748,69fa2d5e-557c-457a-9103-21bc2609f5eb,3825,3825 - TOOMBON,,https://freshlife.tk/bbq/
37,Pearson Point,BASIC,NONE,From the township of Heyfield take Weir Rd North for 10km and turn Right onto Lanigan Rd. Turn Left off Lanigan Rd onto Millers Rd and follow for 7.5km. At Bulldog Junction turn right onto Huggett's Rd and then right on Corner Creek Track. After 1km turn,Pearson's Point provides scenic views of the Heyfield/Lake Glenmaggie area and further to the Strzelecki Ranges. To the west the forested foothills of the lower Macalister River catchment can be viewed stretching to Mt Useful and Licola. Access by 4WD on,HEYFIELD,Wood BBQ available,BBQ,MAFFRA WEST UPPER,GIPPSLAND,WELLINGTON,146.805147,-37.8543,57f7b166-7696-4238-8a9b-8a1505e7de8f,3859,3859 - MAFFRA WEST UPPER,,https://freshlife.tk/bbq/
38,Gunyah Picnic Area,BASIC,NONE,"Located just 15km north east of Bendigo. From the centre of Bendigo head north out the Midland Hwy, turn right at Taylor St Epsom. Turn right over the train tracks then take a quick left onto Epsom -Barnadown Rd. Turn right into Harper Rd and continue al","Gunyah Picnic Area is the site of a former Forest Commission Eucalyptus Distillery. It is a good spot to relax, participate in a recreational pursuit or explore the history of the area. In spring you can enjoy a marvellous display of wildflowers. Wellsfo",BENDIGO CNR MIDLAND HWY & TAYLOR ST,Wood BBQ available,BBQ,LONGLEA,LODDON MALLEE,GREATER BENDIGO,144.414824,-36.7183,82e215ca-e0e5-4a00-9357-98d53b04311b,3551,3551 - LONGLEA,,https://freshlife.tk/bbq/
39,Halfway Dam Picnic Area,BASIC,NONE,From Rushworth head south down High St towards Whroo. About 4km down on the left hand side you will find Halfway Dam Picnic Area.,"Halfway Dam is situated half way between Rushworth and Whroo, amoungst a lovely stand of Ironbarks. To the north you will find a Mallee Eucalyptus Oil harvesting area. A beautiful spot for a lazy picnic. There are picnic tables and a wood BBQ. Wander aro",RUSHWORTH DEPOT,Wood BBQ available,BBQ,RUSHWORTH,LODDON MALLEE,CAMPASPE,145.0269,-36.61,f9a9a4b6-7067-41d4-93e2-3cc39fb0784b,3612,3612 - RUSHWORTH,,https://freshlife.tk/bbq/
40,Marthavale Hut,BASIC,NONE,"Hut is located at the end of Marthavale Rd off the Baldhead Rd. Approx 1 hour from Bairnsdale, 4WD only access when wet.","**HUT DESTROYED BY FIRE- TOILET & PICNICKING STILL AVAILABLE** This site contains an historic hut built in the 1950's for timber workers accommodation. The hut is located next to the Nicholson River and has a toilet, picnic table and fire pit. There is p",BAIRNSDALE MAIN ST,Wood BBQ available,BBQ,MARTHAVALE,GIPPSLAND,EAST GIPPSLAND,147.526306,-37.4458,b860d407-5227-4b15-a0d9-eb5773b9d083,3875,3875 - MARTHAVALE,,https://freshlife.tk/bbq/
41,Cossticks Weir,BASIC,NONE,"Access is via the Old Colquhoun Rd (Old Nowa Nowa Rd) off the Princes Hwy, just west of Nowa Nowa township.","This historic fire dam was built in the mid-1940s to provide a reliable water supply following the disastrous 1939 bushfires. The site is adjacent to the East Gippsland Rail Trail, just west of the iconic Stony Creek Trestle Bridge, and provides a quiet",NOWA NOWA,Wood BBQ available,BBQ,NOWA NOWA,GIPPSLAND,EAST GIPPSLAND,148.02303,-37.741,9888bb86-6422-44e6-9f7c-92fc38f2736d,3887,3887 - NOWA NOWA,,https://freshlife.tk/bbq/
42,Tomahawk Hut,BASIC,NONE,"From Mansfield follow the Mt. Buller Rd to Sawmill Settlement, turn left on Carters Rd, follow for 11kms. Turn left onto Buckland Spur Tk.","Tomahawk Hut was originally built in 1927 by Forest Officer Arthur Dale. Rebuilt in 2007, the hut is an example of an early Forest Commission Hut in the Alpine area of Victoria. The Hut has an open fire and the site also has a picnic table and fireplace.",MANSFIELD,Wood BBQ available,BBQ,MERRIJIG,HUME,MANSFIELD,146.41062,-37.04,6f12e44a-29d7-4ca9-9756-bcb444962af4,3723,3723 - MERRIJIG,,https://freshlife.tk/bbq/
42,Tomahawk Hut,BASIC,NONE,"From Mansfield follow the Mt. Buller Rd to Sawmill Settlement, turn left on Carters Rd, follow for 11kms. Turn left onto Buckland Spur Tk.","Tomahawk Hut was originally built in 1927 by Forest Officer Arthur Dale. Rebuilt in 2007, the hut is an example of an early Forest Commission Hut in the Alpine area of Victoria. The Hut has an open fire and the site also has a picnic table and fireplace.",MANSFIELD,Wood BBQ available,BBQ,MERRIJIG,HUME,MANSFIELD,146.41062,-37.04,b860d407-5227-4b15-a0d9-eb5773b9d083,3723,3723 - MERRIJIG,,https://freshlife.tk/bbq/
43,Blue Range Creek,MID,NONE,"From Mansfield follow the Mansfield-Whitfield Road for approx. 10kms then turn left onto Blue Range Road, follow for approx. 4kms",NA,MANSFIELD,Pit BBQ available,BBQ,BRIDGE CREEK,HUME,MANSFIELD,146.0951338,-36.9359078,6f12e44a-29d7-4ca9-9756-bcb444962af4,3723,3723 - BRIDGE CREEK,,https://freshlife.tk/bbq/
44,Ruoaks,BASIC,NONE,"Off North Creek Road at Merton, turn right down Ruoaks Road, 2wd on dirt road not suitable for caravans.",Basic Campsite for three sites,BENALLA SYDNEY RD,Wood BBQ available,BBQ,STRATHBOGIE,HUME,STRATHBOGIE,145.803742,-36.922,6f12e44a-29d7-4ca9-9756-bcb444962af4,3666,3666 - STRATHBOGIE,,https://freshlife.tk/bbq/
45,Youngs Creek,BASIC,NONE,"Access to this site is via the Bonang Hwy, turning right on to 4 1/2 mile track and following along to Storers track and following signs down to picnic area.","Set on the fringes of the Youngs Creek warm temperate rainforest this site provides opportunities for picnicking and short walks, with a viewing platform only a short stroll along the creek at Youngs Creek Falls, or take a return walk to the picnic groun",ORBOST OFFICE,Wood BBQ available,BBQ,ORBOST,GIPPSLAND,EAST GIPPSLAND,148.515003,-37.6565,eb624ae2-42e4-49eb-a8e0-025121c9d629,3888,3888 - ORBOST,,https://freshlife.tk/bbq/
46,Drummer Rainforest,MID,NONE,Approximately 12 kilometres east of Cann River the rest area is set 200m north of the Princes Hwy.,"Set within some of East Gippsland's renowned warm temperate rainforest, take a break and enjoy the scenery.",CANN RIVER,Wood BBQ available,BBQ,NOORINBEE,GIPPSLAND,EAST GIPPSLAND,149.272581,-37.5688,58da8231-682a-44ce-97ee-17de937c3782,3890,3890 - NOORINBEE,,https://freshlife.tk/bbq/
47,Poplars Reserve,BASIC,NONE,"Head north out of Noojee on the Loch Valley Road for approximately 8km, where you will find the sign-posted campground on the left a few hundred metres after the bitumen road turns to gravel.  Easy 2WD access.","An expansive, grassy site alongside the picturesque Loch River, dotted with well-established Poplar trees.  Only 10 minutes from Noojee, the Poplars Reserve is suited to campervanning, camping and picnicking.",NOOJEE,"Pit, and Wood BBQs available",BBQ,LOCH VALLEY,GIPPSLAND,BAW BAW,145.993916,-37.8215,3a0e909b-a278-4c5b-8786-975c5ef4c4c9,3833,3833 - LOCH VALLEY,,https://freshlife.tk/bbq/
